id,customer,date,amount,last_updated
6748,Amazon,2025-04-16,786,2025-04-16T13:28:00
6733,BestBuy,2025-04-17,649,2025-04-17T08:01:00
8915,Costco,2025-04-17,1741,2025-04-17T23:02:00
5226,eBay,2025-04-17,151,2025-04-17T14:31:00
2319,Amazon,2025-04-17,595,2025-04-17T16:26:00
1987,Costco,2025-04-18,1475,2025-04-18T14:08:00
5465,Costco,2025-04-18,1711,2025-04-18T23:50:00
6491,eBay,2025-04-18,853,2025-04-18T15:56:00
4720,BestBuy,2025-04-18,827,2025-04-18T04:29:00
3802,Walmart,2025-04-18,334,2025-04-18T07:19:00
2797,Walmart,2025-04-18,1685,2025-04-18T17:12:00
1524,eBay,2025-04-19,620,2025-04-19T00:03:00
1312,BestBuy,2025-04-19,810,2025-04-19T15:44:00
9860,Costco,2025-04-19,495,2025-04-19T14:40:00
4034,Walmart,2025-04-19,1668,2025-04-19T08:49:00
6163,Amazon,2025-04-19,247,2025-04-19T06:53:00
9380,Target,2025-04-19,480,2025-04-19T01:18:00
9063,Target,2025-04-20,389,2025-04-20T01:42:00
5256,Walmart,2025-04-20,1713,2025-04-20T00:03:00
6427,Walmart,2025-04-20,1499,2025-04-20T10:24:00
8949,Costco,2025-04-20,1580,2025-04-20T23:12:00
6746,Walmart,2025-04-20,522,2025-04-20T00:20:00
6858,Amazon,2025-04-20,632,2025-04-20T16:32:00
2038,Amazon,2025-04-21,1317,2025-04-21T03:20:00
7091,Amazon,2025-04-21,954,2025-04-21T15:47:00
7139,Walmart,2025-04-21,1090,2025-04-21T02:54:00
9731,eBay,2025-04-21,1003,2025-04-21T22:06:00
9577,Walmart,2025-04-22,1355,2025-04-22T02:19:00
2930,BestBuy,2025-04-22,1056,2025-04-22T08:54:00
2142,eBay,2025-04-22,1419,2025-04-22T04:14:00
8205,Target,2025-04-22,1976,2025-04-22T23:09:00
9486,eBay,2025-04-22,644,2025-04-22T00:49:00
4275,BestBuy,2025-04-22,840,2025-04-22T23:41:00
5028,Walmart,2025-04-23,1067,2025-04-23T21:50:00
9586,eBay,2025-04-23,246,2025-04-23T10:12:00
9703,eBay,2025-04-23,866,2025-04-23T22:36:00
3379,Target,2025-04-23,1068,2025-04-23T13:27:00
3392,Amazon,2025-04-23,1953,2025-04-23T21:16:00
9139,eBay,2025-04-24,596,2025-04-24T01:31:00
5852,Amazon,2025-04-24,282,2025-04-24T03:43:00
9411,Walmart,2025-04-24,406,2025-04-24T14:11:00
8695,Costco,2025-04-24,743,2025-04-24T07:42:00
2813,Amazon,2025-04-24,1934,2025-04-24T16:13:00
5319,Target,2025-04-25,1988,2025-04-25T13:46:00
5635,eBay,2025-04-25,576,2025-04-25T05:58:00
5486,Amazon,2025-04-25,1749,2025-04-25T08:31:00
8794,eBay,2025-04-25,1542,2025-04-25T20:54:00
8201,BestBuy,2025-04-25,1381,2025-04-25T03:09:00
6538,Target,2025-04-26,328,2025-04-26T06:40:00
1024,Costco,2025-04-26,317,2025-04-26T07:47:00
5094,Amazon,2025-04-26,1281,2025-04-26T22:52:00
2399,Costco,2025-04-26,1718,2025-04-26T21:23:00
2821,eBay,2025-04-26,1186,2025-04-26T15:08:00
2273,Amazon,2025-04-27,189,2025-04-27T13:31:00
8867,Costco,2025-04-27,1452,2025-04-27T15:43:00
5261,Amazon,2025-04-27,1388,2025-04-27T16:15:00
7916,Walmart,2025-04-28,1662,2025-04-28T05:54:00
9378,Amazon,2025-04-28,140,2025-04-28T22:24:00
5547,BestBuy,2025-04-28,608,2025-04-28T00:29:00
2259,eBay,2025-04-29,619,2025-04-29T02:48:00
2640,Costco,2025-04-29,1208,2025-04-29T21:39:00
3805,Costco,2025-04-29,1263,2025-04-29T12:18:00
2894,Walmart,2025-04-29,263,2025-04-29T20:48:00
1566,Target,2025-04-30,990,2025-04-30T03:03:00
3147,Walmart,2025-04-30,795,2025-04-30T23:08:00
2491,eBay,2025-04-30,353,2025-04-30T15:23:00
7302,Costco,2025-05-01,765,2025-05-01T04:20:00
4252,Target,2025-05-01,794,2025-05-01T23:23:00
6200,eBay,2025-05-01,1243,2025-05-01T04:31:00
8944,Amazon,2025-05-01,1313,2025-05-01T16:54:00
7701,Target,2025-05-01,1872,2025-05-01T06:23:00
2910,eBay,2025-05-01,794,2025-05-01T16:02:00
9876,Target,2025-05-02,384,2025-05-02T12:37:00
4874,Costco,2025-05-02,597,2025-05-02T05:55:00
9666,BestBuy,2025-05-02,1145,2025-05-02T02:39:00
8110,Target,2025-05-03,1307,2025-05-03T19:11:00
5636,Target,2025-05-03,1436,2025-05-03T13:37:00
4353,Amazon,2025-05-03,1260,2025-05-03T22:09:00
8489,Costco,2025-05-03,1620,2025-05-03T08:12:00
2830,Costco,2025-05-04,821,2025-05-04T08:59:00
3798,Target,2025-05-04,1686,2025-05-04T14:25:00
5088,Amazon,2025-05-04,891,2025-05-04T12:39:00
6543,Walmart,2025-05-04,1316,2025-05-04T15:11:00
1846,Walmart,2025-05-05,1038,2025-05-05T20:48:00
2665,Amazon,2025-05-05,815,2025-05-05T14:44:00
7575,BestBuy,2025-05-05,1712,2025-05-05T08:40:00
5177,Amazon,2025-05-05,1128,2025-05-05T17:32:00
6301,BestBuy,2025-05-05,1604,2025-05-05T21:14:00
6878,BestBuy,2025-05-05,564,2025-05-05T07:39:00
9600,eBay,2025-05-06,400,2025-05-06T11:52:00
1391,Walmart,2025-05-06,372,2025-05-06T14:49:00
9999,Walmart,2025-05-06,622,2025-05-06T09:11:00
2117,Amazon,2025-05-06,1963,2025-05-06T21:13:00
9016,BestBuy,2025-05-07,818,2025-05-07T11:09:00
1470,Costco,2025-05-07,838,2025-05-07T15:41:00
6621,Target,2025-05-07,646,2025-05-07T03:16:00
5297,Walmart,2025-05-07,1753,2025-05-07T15:55:00
9560,eBay,2025-05-07,348,2025-05-07T22:55:00
7633,BestBuy,2025-05-07,697,2025-05-07T21:08:00
9371,Target,2025-05-08,606,2025-05-08T19:06:00
4026,BestBuy,2025-05-08,1562,2025-05-08T23:06:00
3800,Walmart,2025-05-08,566,2025-05-08T09:45:00
2214,BestBuy,2025-05-08,1469,2025-05-08T04:36:00
1555,Amazon,2025-05-08,1524,2025-05-08T10:04:00
5110,Costco,2025-05-08,1528,2025-05-08T21:10:00
9626,Target,2025-05-09,676,2025-05-09T20:22:00
2003,Costco,2025-05-09,664,2025-05-09T04:36:00
9965,Amazon,2025-05-09,1864,2025-05-09T22:16:00
7884,Amazon,2025-05-09,556,2025-05-09T12:57:00
5266,Target,2025-05-09,480,2025-05-09T01:16:00
5028,BestBuy,2025-05-10,336,2025-05-10T18:54:00
9136,Walmart,2025-05-10,234,2025-05-10T03:52:00
2689,Walmart,2025-05-10,1850,2025-05-10T01:05:00
3088,Costco,2025-05-11,850,2025-05-11T16:10:00
9043,BestBuy,2025-05-11,1055,2025-05-11T01:15:00
5926,Amazon,2025-05-11,599,2025-05-11T04:58:00
6538,BestBuy,2025-05-11,1119,2025-05-11T08:41:00
2765,eBay,2025-05-12,1277,2025-05-12T23:33:00
1665,eBay,2025-05-12,1681,2025-05-12T10:35:00
7460,eBay,2025-05-12,544,2025-05-12T05:37:00
2294,Amazon,2025-05-13,1521,2025-05-13T08:44:00
7202,Costco,2025-05-13,1742,2025-05-13T21:23:00
8389,eBay,2025-05-13,1483,2025-05-13T00:29:00
5105,BestBuy,2025-05-13,1792,2025-05-13T18:32:00
1335,Costco,2025-05-13,262,2025-05-13T04:52:00
7922,eBay,2025-05-13,1930,2025-05-13T04:31:00
9737,Target,2025-05-14,329,2025-05-14T22:52:00
1258,eBay,2025-05-14,1918,2025-05-14T12:39:00
6130,BestBuy,2025-05-14,263,2025-05-14T02:33:00
1723,Target,2025-05-15,1119,2025-05-15T05:42:00
8897,BestBuy,2025-05-15,1806,2025-05-15T20:14:00
7322,Amazon,2025-05-15,778,2025-05-15T05:50:00
8053,Walmart,2025-05-15,1441,2025-05-15T06:45:00
2039,BestBuy,2025-05-16,1924,2025-05-16T21:48:00
3448,Amazon,2025-05-16,1218,2025-05-16T06:53:00
3585,eBay,2025-05-16,1996,2025-05-16T20:46:00
6817,eBay,2025-05-16,1449,2025-05-16T16:06:00
9283,Walmart,2025-05-17,204,2025-05-17T01:56:00
1109,BestBuy,2025-05-17,944,2025-05-17T13:35:00
3195,eBay,2025-05-17,890,2025-05-17T13:32:00
5221,Walmart,2025-05-17,148,2025-05-17T04:14:00
7712,BestBuy,2025-05-17,1339,2025-05-17T20:09:00
2642,Amazon,2025-05-18,1932,2025-05-18T04:12:00
6930,Costco,2025-05-18,988,2025-05-18T23:10:00
3009,Walmart,2025-05-18,838,2025-05-18T21:23:00
1050,Walmart,2025-05-18,1697,2025-05-18T10:06:00
2542,BestBuy,2025-05-18,1605,2025-05-18T05:31:00
6982,eBay,2025-05-18,909,2025-05-18T11:12:00
8727,Amazon,2025-05-19,380,2025-05-19T22:54:00
8999,eBay,2025-05-19,1008,2025-05-19T07:59:00
1024,BestBuy,2025-05-19,588,2025-05-19T00:42:00
9972,Target,2025-05-19,694,2025-05-19T01:57:00
5454,Amazon,2025-05-19,1844,2025-05-19T17:28:00
5542,BestBuy,2025-05-20,1802,2025-05-20T04:51:00
6139,Amazon,2025-05-20,849,2025-05-20T13:45:00
8752,BestBuy,2025-05-20,574,2025-05-20T01:15:00
9150,Costco,2025-05-20,137,2025-05-20T13:59:00
1615,Target,2025-05-21,1092,2025-05-21T05:33:00
6750,BestBuy,2025-05-21,547,2025-05-21T15:54:00
2812,Walmart,2025-05-21,1392,2025-05-21T17:40:00
1962,Target,2025-05-21,354,2025-05-21T02:40:00
3447,Walmart,2025-05-21,892,2025-05-21T00:31:00
3337,BestBuy,2025-05-22,401,2025-05-22T12:34:00
9498,Amazon,2025-05-22,1020,2025-05-22T20:02:00
3208,Target,2025-05-22,961,2025-05-22T15:39:00
4188,BestBuy,2025-05-22,294,2025-05-22T01:48:00
7847,Costco,2025-05-22,1060,2025-05-22T22:48:00
6424,Costco,2025-05-22,187,2025-05-22T04:41:00
2393,BestBuy,2025-05-23,663,2025-05-23T03:04:00
6116,BestBuy,2025-05-23,396,2025-05-23T07:10:00
4709,eBay,2025-05-23,1028,2025-05-23T11:50:00
7062,Walmart,2025-05-23,1804,2025-05-23T11:17:00
7851,Amazon,2025-05-24,1993,2025-05-24T15:29:00
8017,Walmart,2025-05-24,880,2025-05-24T21:09:00
8368,Costco,2025-05-24,256,2025-05-24T05:07:00
3867,BestBuy,2025-05-24,1047,2025-05-24T20:52:00
3021,BestBuy,2025-05-24,332,2025-05-24T17:48:00
7000,Costco,2025-05-25,569,2025-05-25T11:32:00
4244,eBay,2025-05-25,1320,2025-05-25T12:03:00
4123,Target,2025-05-25,1949,2025-05-25T00:49:00
3459,Costco,2025-05-25,1555,2025-05-25T05:06:00
9584,Amazon,2025-05-25,1053,2025-05-25T23:47:00
7842,Costco,2025-05-26,1074,2025-05-26T06:05:00
7842,Target,2025-05-26,1379,2025-05-26T12:16:00
1649,Amazon,2025-05-26,1614,2025-05-26T16:18:00
3115,Amazon,2025-05-26,1963,2025-05-26T16:01:00
3325,Amazon,2025-05-26,648,2025-05-26T05:40:00
6947,BestBuy,2025-05-26,1539,2025-05-26T05:07:00
9558,eBay,2025-05-27,438,2025-05-27T08:18:00
3553,BestBuy,2025-05-27,1930,2025-05-27T15:15:00
5277,Amazon,2025-05-27,1640,2025-05-27T16:47:00
1480,Walmart,2025-05-27,622,2025-05-27T10:20:00
1736,Target,2025-05-28,738,2025-05-28T03:54:00
3341,eBay,2025-05-28,250,2025-05-28T17:43:00
2295,eBay,2025-05-28,726,2025-05-28T09:49:00
9664,Amazon,2025-05-28,1801,2025-05-28T13:36:00
4092,Amazon,2025-05-28,423,2025-05-28T18:17:00
1312,Costco,2025-05-29,882,2025-05-29T09:00:00
9953,Target,2025-05-29,1362,2025-05-29T04:12:00
5812,Costco,2025-05-29,1176,2025-05-29T08:29:00
4569,BestBuy,2025-05-29,877,2025-05-29T22:34:00
6022,Amazon,2025-05-29,1039,2025-05-29T09:41:00
6768,Target,2025-05-29,1672,2025-05-29T08:19:00
9862,Costco,2025-05-30,1261,2025-05-30T05:34:00
2517,Target,2025-05-30,169,2025-05-30T08:45:00
4796,BestBuy,2025-05-30,1287,2025-05-30T22:42:00
2637,eBay,2025-05-30,171,2025-05-30T02:57:00
2375,Amazon,2025-05-30,1656,2025-05-30T04:48:00
8998,eBay,2025-05-31,851,2025-05-31T03:18:00
3865,BestBuy,2025-05-31,1481,2025-05-31T03:14:00
9077,Amazon,2025-05-31,1722,2025-05-31T12:20:00
3177,eBay,2025-05-31,1200,2025-05-31T01:26:00
5874,Amazon,2025-05-31,1807,2025-05-31T23:12:00
